书名,价格,信息,日期,出版社
 计算机网络：自顶向下方法（原书第8版） 经典教材全新升级，被国内外数百所高校选用，被译为14种语言畅销全球,¥71.00,[美]詹姆斯·F. 库罗斯(James F. Kurose) [美]基思·W. 罗斯(Keith W. Ross), 2022-10-18,机械工业出版社
 操作系统概念 [美]亚伯拉罕·西尔伯沙茨（AbrahamSilberschatz） 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥30.00,[美]亚伯拉罕·西尔伯沙茨（AbrahamSilbersch, 2018-07-01,机械工业出版社
 Redis设计与实现 黄健宏 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥24.00,黄健宏, 2014-06-01,机械工业出版社
 设计模式之禅 秦小波著 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥16.00,秦小波著, 2014-03-01,机械工业出版社
 【正版特价】实用机器学习|231456 ,¥8.90,（印）苏尼拉·格拉普蒂（Sunila Gollapudi）, 2018-06-01,机械工业出版社
 深入理解计算机系统 (美)兰德尔E.布莱恩特(Randal E.Bryant)等【正版保证】 全国多仓就近发货，现货正版，领劵下单，欢迎选购！,¥43.11,(美)兰德尔?E.布莱恩特(Randal E.Bryant), 2016-11-01,机械工业出版社
 C程序设计语言（原书第2版·新版）典藏版 全面、系统地讲述了C语言的各个特性及程序设计的基本方法。,¥38.00,布莱恩, 2022-05-05,机械工业出版社
 神经网络与深度学习 豆瓣评分9.5!复旦大学邱锡鹏教授力作，周志华、李航联袂推荐！深受好评的深度学习讲义蒲公英书正式版！系统整理深度学习的知识体系，由浅入深地阐述深度学习的原理、模型以及方法。更适合中文读者的深度学习图书,¥82.00,邱锡鹏 著, 2020-04-17,机械工业出版社
 计算机网络:自顶向下方法原书第7版【正版书籍 闪电发货】 【满额立减 下单速发 可开发票 正版图书】,¥21.34,詹姆斯·F.库罗斯著, 2018-06-01,机械工业出版社
" Intel微处理器 [美]布雷,金惠华等 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥95.00,"[美]布雷,金惠华等", 2010-06-01,机械工业出版社
" R语言编程艺术,一点彩划【正版保证】 【满额立减 下单速发 可开发票 正版图书】",¥10.60,[美]NormanMatloff著；陈堰平译；邱怡轩译；潘岚锋译, 2013-05-01,机械工业出版社
 新机器的灵魂 Tracy Kidder 【正版书】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥32.49,[美]基德尔（Tracy Kidder）, 2011-01-01,机械工业出版社
" 数据通信与网络 [美] 佛罗赞,[美] 费根 著,吴时霖 等 译 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥32.00,"[美] 佛罗赞,[美] 费根 著,吴时霖 等 译", 2007-07-01,机械工业出版社
 操作系统之哲学原理 邹恒明著 机械工业出【正版保证】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥64.49,邹恒明, 2012-03-01,机械工业出版社
 Python数据分析与挖掘实战第2版【正版书籍 闪电发货】 【满额立减 下单速发 可开发票 正版图书】,¥18.59,张良均著；谭立云著；刘名军著；江建明著, 2019-12-01,机械工业出版社
 华为数字化转型与数据治理套装（共2册） 本套装含《华为数字化转型之道》和《华为数据之道》各1册。华为官方出品，数据资源化 数据治理 数据资产化 数据开发应用 数据流通 数据要素市场 数据安全,¥163.50,华为公司企业架构与变革管理部，华为公司数据管理部 著, 2022-06-01,机械工业出版社
" 架构即未来:现代企业可扩展的Web架构、流程和组织 [美]马丁 L. 阿伯特(Martin L. Abbott),迈克尔 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥10.00,[美]马丁 L. 阿伯特(Martin L. Abbott), 2016-04-01,机械工业出版社
" 嵌入式实时操作系统:RT-Thread设计与实现 邱祎,熊谱翔,朱天龙 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥39.00,"邱祎,熊谱翔,朱天龙", 2019-03-01,机械工业出版社
 深入理解计算机系统 (美)兰德尔E.布莱恩特(Randal E.Bryant)等 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥52.00,(美)兰德尔?E.布莱恩特(Randal E.Bryant), 2016-11-01,机械工业出版社
" SolidWorks2018中文版快速入门实例教程 胡仁喜,刘昌丽 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥18.00,"胡仁喜,刘昌丽", 2019-10-01,机械工业出版社
 Metasploit 渗透测试魔鬼训练营 诸葛建伟 等 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥18.00,诸葛建伟 等, 2013-09-01,机械工业出版社
 Unity3D网络游戏实战 罗培羽 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥19.00,罗培羽, 2018-12-01,机械工业出版社
 Phython程序设计 [美]戴维I.施耐德 机械工业出版社【正版】 全国多仓就近发货，现货正版，领劵下单，欢迎选购！,¥30.46,[美]戴维I.施耐德, 2016-03-01,机械工业出版社
 【正版特价】Linux创客实战|231865 ,¥8.90,[美]亚伦·纽科姆（Aaron Newcomb）, 2018-09-14,机械工业出版社
 数据结构与算法分析 C语言描述典藏版 冯舜玺 译 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥18.00,冯舜玺 译, 2019-04-01,机械工业出版社
 数据结构与算法:Python语言实现【放心购买 无忧售后】 【正版书籍 闪电发货 品质无忧 可开发票】,¥23.36,Goodrich)著；[美]迈克尔译；T.译；古德里奇(Michael译；T.译, 2018-09-01,机械工业出版社
