title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share
薛定谔的胖铁盒,BV1yC4y1m7Ur,https://b23.tv/BV1yC4y1m7Ur,幾加乘,994793,3164,1317,138415,42613,18660,14032
【罗翔】张三弄虚作假却风生水起，做真好人真难！经验世界无法给人自洽，我们该怎么办？,BV1k94y1V7vV,https://b23.tv/BV1k94y1V7vV,罗翔说刑法,1413830,3083,3506,148222,29603,17661,5665
完美解决祖父悖论！究极烧脑的悬疑科幻《前目的地》,BV1mC4y1m7Cz,https://b23.tv/BV1mC4y1m7Cz,培根悖论唠唠嗑,1776408,6876,3248,69602,13288,37050,5306
《掠影纷争》首曝PV | 向世界挥拳,BV1rv411F7QD,https://b23.tv/BV1rv411F7QD,掠影纷争,1649705,252,998,15926,2757,4610,3624
【BA】钢铁侠大战美国队长！谁才是对的？！万字解析《美国队长3：内战》！,BV1hN4y1m7JS,https://b23.tv/BV1hN4y1m7JS,BuriedAlien,1023488,16609,4083,62228,42268,21910,2111
大胆点，向前跑，我们的青春本该热烈。,BV1uz4y1A71h,https://b23.tv/BV1uz4y1A71h,大圆哥_,2199157,4527,2843,234427,87692,24367,8303
这是史上最会玩梗的游戏作者（,BV1fw411A7S9,https://b23.tv/BV1fw411A7S9,二控_,982305,384,509,26099,1337,4826,478
《重返未来：1999》1.5版本PV：复兴！乌卢鲁运动会,BV1PG411D7nH,https://b23.tv/BV1PG411D7nH,重返未来1999,1553998,5294,7909,71531,22441,13090,17289
花120w在韩国变美，结果丑到容貌焦虑…,BV1eC4y1j7ya,https://b23.tv/BV1eC4y1j7ya,小桑菜奈,1116923,3514,1070,37149,3842,12272,744
拥有我你就能拥有...,BV1cv411c7yk,https://b23.tv/BV1cv411c7yk,铃乃Chan,824112,917,2281,124353,12482,16235,2970
在 我 这 呐,BV1Vj411J7PE,https://b23.tv/BV1Vj411J7PE,頹男,2041894,969,1265,162416,28420,21496,10534
动态视频｜我们用记忆金属做了一盆花...,BV1gN411M7kh,https://b23.tv/BV1gN411M7kh,老师好我叫何同学,4786879,10704,3487,832658,83406,112744,21376
美的不真实…这是在动漫里跳舞吗！？,BV1xG411D7tt,https://b23.tv/BV1xG411D7tt,-小D-biu,492878,361,815,30931,7197,8705,834
【吸奇侠】第一奇书《金瓶梅》01 天饼星的陨落,BV1hw411H79u,https://b23.tv/BV1hw411H79u,吸奇侠,1046441,5714,2583,66710,28131,24065,5310
【影史上100个关于窗的镜头】“或许生活难免落俗，但浪漫至死不渝。”,BV1Jj411J75b,https://b23.tv/BV1Jj411J75b,白日妄想家,463720,490,414,59457,14392,49461,2794
对象家人出车祸了也会先陪我吃完火锅？,BV1iu4y1b7Zb,https://b23.tv/BV1iu4y1b7Zb,蜡笔小坨恰恰恰,1798775,7964,3490,152764,85148,24108,24766
做了一个夜里看恐怖片不害怕的地下钢铁安全屋,BV19w411T7pk,https://b23.tv/BV19w411T7pk,手工耿,10892158,102832,24861,1106213,822541,228879,162819
《原神》剧情PV-「轻涟」,BV1Jg4y197YW,https://b23.tv/BV1Jg4y197YW,原神,10370455,22822,22263,531350,436485,274995,92005
三国灭爸为什么活不长？【小约翰】,BV16a4y1Q7by,https://b23.tv/BV16a4y1Q7by,小约翰可汗,5997190,25588,7940,443896,93696,67224,14917
树：讲真的，我已经不在乎那条虫子了！,BV1794y1G7Y5,https://b23.tv/BV1794y1G7Y5,幸运猎手,12294744,10059,10368,745284,66934,194210,62449
【罗翔】看我被“白头”，很多亲友发来慰问，还有对错真假吗？,BV1QN4y1U7u2,https://b23.tv/BV1QN4y1U7u2,罗翔说刑法,6289130,13494,6365,370944,79436,34554,11888
复刻全球最受欢迎炸鸡，每年卖出上亿份，到底有多好吃？,BV1aM411D7g5,https://b23.tv/BV1aM411D7g5,大碗拿铁,4368318,5667,1902,244109,67505,65736,11148
《崩坏：星穹铁道》藿藿角色PV——「回魂夜」,BV1mj411E7eB,https://b23.tv/BV1mj411E7eB,崩坏星穹铁道,3846326,10458,10826,259211,92405,60889,55371
带你去山西看穿越千年的日出，vivo X100系列挑战长长长长长焦拍太阳,BV1Eu411F7qQ,https://b23.tv/BV1Eu411F7qQ,vivo,5973211,2060,1640,119804,8076,11840,4962
能给人急死,BV1nj411a7Cz,https://b23.tv/BV1nj411a7Cz,高斯Goh,3993426,13892,2785,245824,86979,55476,3211
当名台词有了回应2,BV1yC4y1U7HM,https://b23.tv/BV1yC4y1U7HM,变相怪杰Mask,4242027,5850,2603,268366,94338,82453,44034
aespa《Drama》MV,BV1Se411X7d4,https://b23.tv/BV1Se411X7d4,SMTOWN,3417815,20979,22328,151385,68957,65916,57937
「正经向」宅男们一起跳了！💢肃清！萝莉神安魂曲💢,BV1iw411N78K,https://b23.tv/BV1iw411N78K,宅男街舞队_RAB,2503772,3400,4530,307797,106486,82501,52284
《甄嬛传》之 甄嬛的一生 (上),BV16j411h7bN,https://b23.tv/BV16j411h7bN,惊奇动物园oopspark,3217469,2688,1902,316941,74158,101653,47197
这一刻水神无愧于正义之名，芙宁娜比肩神明！【原神 / 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】,BV14u4y187Rg,https://b23.tv/BV14u4y187Rg,伊零Onezero,2841970,3791,3848,380577,119975,168408,26488
只有一笔钱，3岁宝宝会花给妈妈还是爸爸？,BV1tz4y1P7rv,https://b23.tv/BV1tz4y1P7rv,啊吗粽,1581865,2267,855,82634,14064,6301,3423
[4K]来了终於来了!Red Velvet的Killing Voice现场一次听!!,BV19C4y127H6,https://b23.tv/BV19C4y127H6,Dingo_official,1523990,21596,8588,118784,96334,75868,32185
就算要被吃掉，也要保持微笑！,BV1bw411T7VY,https://b23.tv/BV1bw411T7VY,绵羊料理,3007722,6114,2318,221031,62526,21091,6493
水的女儿，自由快乐的一天！,BV1Au411F75L,https://b23.tv/BV1Au411F75L,KKOMDA,2060273,1851,2754,227082,78855,91250,8564
9.7分封神！漫威15年最强剧诞生！洛基“故事之神”最强形态！这一集我实名吹爆,BV1mz4y1P7xY,https://b23.tv/BV1mz4y1P7xY,努力的Lorre,2840247,7248,4481,144889,32103,31168,9526
二手玫瑰《仙儿》| 2023再见夏天工体演唱会,BV1Lu4y1b73i,https://b23.tv/BV1Lu4y1b73i,二手玫瑰乐队,3428004,2274,3027,352049,35721,34468,12870
再见啦！谢谢你陪伴我15年...,BV1XQ4y187cz,https://b23.tv/BV1XQ4y187cz,kei和marin,2074154,791,1276,46360,8665,3108,486
【英雄联盟】世界赛后遗症大赏,BV1Qa4y1S7jr,https://b23.tv/BV1Qa4y1S7jr,英雄联盟,1677747,262,656,33682,1135,1709,651
天玑9300实测：vivo X100性能如何？,BV14C4y1E7Hv,https://b23.tv/BV14C4y1E7Hv,极客湾Geekerwan,2313887,10301,9665,100518,21980,8481,19923
真的只是某一瞬间.....,BV1uw411x7rS,https://b23.tv/BV1uw411x7rS,熬一耶ye,4020086,1327,4893,303317,6325,19777,21669
这让人怎么下嘴啊？,BV1Hj411h7St,https://b23.tv/BV1Hj411h7St,Tiger西西,8230338,3877,1892,423555,11509,23756,7761
四大名著还是太保守了，唐僧林黛玉同步率⚡️200%⚡️,BV1Yw411W77P,https://b23.tv/BV1Yw411W77P,特效小哥studio,3288783,5426,1526,166699,38368,21210,10155
一周的第一天，怎么能少得了看一集脱缰凯呢,BV1qQ4y187Fj,https://b23.tv/BV1qQ4y187Fj,脱缰凯Kk,4090644,2666,1311,279644,14695,31404,1686
背带宇宙之蒙面鸡人！！！,BV1Qu4y1N7xb,https://b23.tv/BV1Qu4y1N7xb,限时理想-背带侠,4317824,2242,1675,291557,90328,92334,27643
总决赛 我来咯【Shy场时刻08】,BV1HN4y1U78c,https://b23.tv/BV1HN4y1U78c,TheShy,1451874,5257,4220,120043,44388,10208,3906
降温了，是时候重温一遍了,BV18w411T7JV,https://b23.tv/BV18w411T7JV,哭天喊地六仙女,3401612,3275,3093,268632,23534,27900,53181
轻舟已过 万重山,BV1xH4y1B7YX,https://b23.tv/BV1xH4y1B7YX,黄正极,5593090,3138,630,252858,24316,153294,2276
大师撤回了一次行骗🙏,BV1vc411X7Lc,https://b23.tv/BV1vc411X7Lc,-显眼宝-,5300499,1456,1814,577141,15379,26623,9208
芙宁娜：谁教你这样卖东西的？,BV1E94y137u7,https://b23.tv/BV1E94y137u7,漾少侠,2127062,935,1457,298578,13501,52443,12570
在毛毯上薅出艾伦,BV1X94y137YV,https://b23.tv/BV1X94y137YV,咖喱芋圆儿花开富贵儿,1845542,1223,1783,331583,127201,61236,11886
雍正年妃·补遗：年妃去世后，又有哪些事？【雍正王朝】,BV1xM411S73Z,https://b23.tv/BV1xM411S73Z,正直讲史-李正Str,788788,3657,1879,53338,27766,5856,714
野生的傻狍子把幼崽生到人类的菜地里然后它忘了,BV1Dc411X76c,https://b23.tv/BV1Dc411X76c,林中小呜,2234175,7445,5395,171684,47366,21501,11996
蓝朋友找上门来，那就切磋切磋,BV1sz4y1P7h1,https://b23.tv/BV1sz4y1P7h1,凌云仗剑走天涯,1527717,1378,794,43773,17105,15285,1475
这是个音乐游戏！！2023版,BV1ze411X7MN,https://b23.tv/BV1ze411X7MN,哦呼w,2351396,1797,1973,271144,165104,62018,13415
【T1分析】T1也有弱点？如何破解T1推线体系？,BV16v411F7q2,https://b23.tv/BV16v411F7q2,徐桑,1363472,3163,5355,70221,32113,5708,2581
终有up出教程了！猫猫同款水母头麻花辫教程来啦～显发量显脸小！Haerin姜海粼同款发型～,BV1yG411Q78t,https://b23.tv/BV1yG411Q78t,来一小碗Www,309557,23,153,35570,2898,44797,2059
【动画】为什么所有人都比我好？,BV1Gy4y1c71y,https://b23.tv/BV1Gy4y1c71y,SKYE魏,5920110,4636,10752,1131202,554361,608053,71444
黑胡子Captain：You 凉席 is my 安妮女王复仇号,BV1h84y1Q7Ws,https://b23.tv/BV1h84y1Q7Ws,天亮手工,4695789,7214,3434,489830,363431,92858,22287
歌迷朋友们好，我又出歌了,BV1z94y1V7PE,https://b23.tv/BV1z94y1V7PE,papi酱,5176297,7705,9434,596048,387087,84251,71170
苏醒的龙皇神话【水无月菌】,BV1xe411X746,https://b23.tv/BV1xe411X746,水无月菌,2572510,7341,5311,228429,177582,49570,19444
《原神》角色演示-「芙宁娜：世界皆舞台」,BV1ZG411X71k,https://b23.tv/BV1ZG411X71k,原神,10996399,47649,47747,610750,421806,220793,119580
钢铁侠、美队确认回归！托比蜘蛛侠，金刚狼领衔主演《复联6》,BV16Q4y1n7vm,https://b23.tv/BV16Q4y1n7vm,努力的Lorre,4799265,7645,6392,198551,18625,22547,41369
“监控”四位同事30天，我们终于揪出了电费刺客,BV1re411X72v,https://b23.tv/BV1re411X72v,先看评测,3447895,8262,6983,208110,91504,61789,27592
【进击的巨人】高燃纸片还原团长！心脏撒撒给呦！！,BV1ra4y1D7vA,https://b23.tv/BV1ra4y1D7vA,纸动画-甄强,4260483,1511,1623,480652,57101,59995,10864
【流浪地球3 | “催更版”预告】没时间了，开始吧！,BV1XM411D7b4,https://b23.tv/BV1XM411D7b4,电影流浪地球,1420857,3931,7326,163875,51964,37788,42036
天玑9300性能前瞻：发哥太强了！,BV1dQ4y1J7LC,https://b23.tv/BV1dQ4y1J7LC,极客湾Geekerwan,2117189,21149,15532,138375,55835,17487,41209
千古佳话？政治谎言？尧舜禅让心甘情愿？《史记》原文全解读【故事】02,BV1cN4y1D7Bw,https://b23.tv/BV1cN4y1D7Bw,木鱼水心,2455883,11158,4243,235838,195294,59044,7099
唱《奢香夫人》，做气质学生,BV1TG41197SK,https://b23.tv/BV1TG41197SK,努力生活的西鱼,4910162,8479,6749,289811,66537,52611,18588
【刘宇宁X关大洲】一开口就是中国人心中的江湖！磁性烟嗓蕴含锋芒剑意，诸君且听《龙吟》！,BV1t94y1G7A1,https://b23.tv/BV1t94y1G7A1,网易逆水寒,1418789,16462,6870,39765,19422,20426,11742
《绝区零》降噪测试预告 | 请戴好安全帽，我们出发！,BV1WC4y1H75n,https://b23.tv/BV1WC4y1H75n,绝区零,6261975,9524,18391,373371,93817,57140,66689
大圣展开，坐杀博徒!,BV1mu4y1h7zU,https://b23.tv/BV1mu4y1h7zU,鹿云清,1649064,582,1402,186700,31018,62139,4206
【新英雄朵莉亚&海诺】CG《人鱼之歌》—— “今晚的烟火大会，一起去看吧”,BV1mc411d7ae,https://b23.tv/BV1mc411d7ae,王者荣耀,4822312,12225,7242,165934,17656,54347,22336
你三个鸡娃儿是点家教都没得啊！,BV1Sc41197kE,https://b23.tv/BV1Sc41197kE,果子哥哥工作室,2589846,993,1614,302799,29963,62075,43195
在家做个反重力感的悬浮边几，cup差点儿烧了～,BV1NQ4y1p7DL,https://b23.tv/BV1NQ4y1p7DL,王一工iMok,3636134,1509,1419,233942,8753,36420,5282
【白嫖失败】3分钟带你感受中国超级大枪的压迫感！,BV15C4y1H7LK,https://b23.tv/BV15C4y1H7LK,含亮老师,2997588,10021,6275,347447,244953,38789,6760
【真实锐评】WBG晋级四强：打个NRG闹麻了，纠正一下 是闹进四强了！,BV1qj411a7DY,https://b23.tv/BV1qj411a7DY,真实电竞,1021361,3059,3835,42430,5172,1464,1278
作者发烧55度做出来的免费游戏,BV1jN411G7a5,https://b23.tv/BV1jN411G7a5,某幻君,4079276,22308,3517,256191,108464,124067,9598
三局之内定胜负，否则……【原神MMD|素晴】,BV1Ge411R7m2,https://b23.tv/BV1Ge411R7m2,Stormz67,2368369,688,1036,363275,15955,72881,7874
剧情解读【进击的巨人最终季】后篇--不负十年--完结撒花,BV1bw411s79q,https://b23.tv/BV1bw411s79q,壮烈成仁-,1579910,16517,11630,117774,115220,60593,14982
爆改绵羊料理！结果实在是绷不住了！！,BV15w411M7cb,https://b23.tv/BV15w411M7cb,宝剑嫂,2561675,8978,3746,230977,78676,22618,5912
《崩坏：星穹铁道》1.5版本PV：「迷离幻夜谈」,BV1Uu4y1h7RG,https://b23.tv/BV1Uu4y1h7RG,崩坏星穹铁道,2313310,4682,3996,142760,26445,18961,8858
《剑 齿 虎》,BV1yz4y1A7a5,https://b23.tv/BV1yz4y1A7a5,聒噪的山海君,1816039,2415,2041,107086,31012,9162,9776
【原神】夏洛蒂的普通攻击也太好玩了~,BV12Q4y1n7u6,https://b23.tv/BV12Q4y1n7u6,莫娜摸鱼专用,2122556,2584,4090,159402,12841,18953,22676
打呼噜不是病，打起来真要命,BV1aH4y1z7dr,https://b23.tv/BV1aH4y1z7dr,星有野,2695322,1975,1902,221195,24749,20415,6881
豪门黑吃黑！他们竟然合作悬疑片了！？全员反派！年度巨作《你在说谎》震撼上映！,BV1nN4y1r75d,https://b23.tv/BV1nN4y1r75d,y_黑鲨麦旋风,1227664,7954,9053,132215,83196,56749,17143
UP主耗时半年多，为你讲述英国是如何从一个边缘岛国崛起为世界霸主，再到最后退缩回不列颠，这跌宕起伏的千年英国史。,BV1TQ4y1n7kK,https://b23.tv/BV1TQ4y1n7kK,周侃侃plus,1357754,5612,1701,106909,72012,135803,6680
【阿斗】它颠覆了以往所有吸血鬼电影！地球被吸血鬼占领，只剩5%的人类被圈养沦为食物！《嗜血破晓》,BV1hu4y187SV,https://b23.tv/BV1hu4y187SV,阿斗归来了,2403898,8917,2256,81427,10490,15764,2144
【鬼谷闲谈】纤毛虫：满级单细胞生物是怎样的存在,BV1Aw411M7ee,https://b23.tv/BV1Aw411M7ee,芳斯塔芙,2356917,11885,2290,166509,38154,43956,9148
贵妃·年氏：历史上的华妃到底什么样？【雍正王朝】,BV1uz4y1N7uX,https://b23.tv/BV1uz4y1N7uX,正直讲史-李正Str,1067006,6981,2867,57652,28250,8386,3072
只靠提问，找到6个人里的财务自由者!丨以假乱真1,BV1HC4y1H7uh,https://b23.tv/BV1HC4y1H7uh,-LKs-,2414662,36316,7169,143140,50861,27714,25140
【战双帕弥什】万世同流 | 曲·启明角色动画短片,BV1Le411X7tD,https://b23.tv/BV1Le411X7tD,战双帕弥什,1255742,2307,2786,47633,28973,14642,7067
醉里挑灯看剑，梦回吹角连营#辛弃疾,BV1pc411R7Yt,https://b23.tv/BV1pc411R7Yt,画客行唯一号,7535778,1792,5355,1027976,123324,114946,14599
教你一张纸折个初音未来,BV1ye411X79s,https://b23.tv/BV1ye411X79s,鸽咕咕咕咕菜,2044162,2082,1884,333854,29062,169269,20699
“这座无字碑，抹去她姓名，斩断她一生”【傀儡记10.0无名新娘】,BV1J84y197pA,https://b23.tv/BV1J84y197pA,頎三73,813270,1051,1162,82022,29949,23837,4237
严重的电路故障往往都有含金量较高的原因,BV1Mu4y1J73V,https://b23.tv/BV1Mu4y1J73V,城阳电工电路,8850395,30202,17941,1188129,412830,199201,169753
史上最炫团建,BV1EN4y167uS,https://b23.tv/BV1EN4y167uS,小傲想睡觉,6495794,61892,6980,442958,270315,147621,8503
在自己婚礼上放《大型纪录片》，五星上将麦克阿瑟倾情出演,BV1Tg4y1R7Sg,https://b23.tv/BV1Tg4y1R7Sg,之涵大战L大超,5155149,5292,7774,413041,165508,47223,29813
当寄生虫感染上了寄生虫，谁能胜出？,BV1Ve41197Pq,https://b23.tv/BV1Ve41197Pq,纪录频道Nature,8993228,30234,10386,530444,98342,180413,76945
【毕导】13年过去了，我终于毕业啦！,BV19c411o7os,https://b23.tv/BV19c411o7os,毕导,4032685,17600,6662,437317,233307,76166,44225
印度公主如何成为英国特工？【硬核狠人60】,BV16M411X7A6,https://b23.tv/BV16M411X7A6,小约翰可汗,3194363,22902,6923,240898,119021,38875,7209
史上最打动人心的游戏，玩过的人都致郁了！,BV1zN4y1k7Z1,https://b23.tv/BV1zN4y1k7Z1,明月沧澜,3324280,3822,1571,199715,24131,79053,7986
创死心里每一只小鹿,BV1oN411W76d,https://b23.tv/BV1oN411W76d,-显眼宝-,5556048,4014,2614,549102,26203,31020,12054
「小白」关于小米 14/14 Pro 都在这了！,BV1nu4y1Y7XZ,https://b23.tv/BV1nu4y1Y7XZ,小白测评,2738055,18900,10062,109996,53206,19325,16793
送盲人一只「电子导盲犬」，能代替真狗吗？！,BV1AH4y197m6,https://b23.tv/BV1AH4y197m6,庄子HD,2566917,2044,2169,59720,10025,7468,1316
如何在家制造可食用餐具,BV1SN411W74G,https://b23.tv/BV1SN411W74G,嘤武罗,5632372,9277,2160,541021,114988,79214,3728
致1000年后，这是1215个人留下的信息。,BV1Mc411Z7VY,https://b23.tv/BV1Mc411Z7VY,影视飓风,1959146,6074,3666,210457,90656,57306,14507
《白荆回廊》终极测试 | Binary Star全新单曲「偶像自白书」正式发布,BV1eH4y197Rs,https://b23.tv/BV1eH4y197Rs,白荆回廊,6045584,2135,2379,105436,54920,46150,2954
【爆肝】挑战在一个区块里生存100天，直接挖空！,BV1ch4y1q7Zd,https://b23.tv/BV1ch4y1q7Zd,史蒂猪StevenPig,8413159,5403,1582,316515,123640,133926,4913
【2023共创之夜】完整版回放：欢迎来到王者荣耀,BV1Mj411v7Vy,https://b23.tv/BV1Mj411v7Vy,王者荣耀,10077300,19224,2895,211448,57600,41030,8377
各地人眼中的正宗美食,BV1tH4y1r71Z,https://b23.tv/BV1tH4y1r71Z,粤知一二,4536314,6618,5554,344331,8980,27675,4048
两个人的恋爱其实是两个寝室的努力！,BV17y4y1A7bX,https://b23.tv/BV17y4y1A7bX,我是刘大悦le,4189259,734,1809,317237,3004,26222,6960
“如何征服全村的狗子”,BV1DN4y1k7dH,https://b23.tv/BV1DN4y1k7dH,吴木良,3442622,4210,1992,274136,66768,82813,8780
《王者荣耀世界》6分钟实机演示发布-「为战斗加点恶作剧」,BV1Sy4y1w7QM,https://b23.tv/BV1Sy4y1w7QM,王者荣耀世界,3288552,20009,25619,118973,8393,10548,51228
100块挑战东北早市，看能不能把仨战士吃饱,BV1ve41197Zu,https://b23.tv/BV1ve41197Zu,吃不饱仨战士,2488259,3596,2978,204433,38406,8447,7315
上课做梦打球，10秒内笑失声系列！！！,BV1jN4y1k7e5,https://b23.tv/BV1jN4y1k7e5,No-Solution篮球,6118084,2657,2520,651294,47084,177240,50734
83岁老人，一人一车骑行全国，一天一百到两百公里，直接刷新了我的认知,BV1ne41197CJ,https://b23.tv/BV1ne41197CJ,我是凡人繁星,1556067,2024,2771,172809,11605,18579,9225
当父母来到你的城市,BV1SQ4y1H7gQ,https://b23.tv/BV1SQ4y1H7gQ,派小轩,4301235,729,2050,320170,8825,9740,2493
【半佛】喜茶疯了，奶茶哭了,BV1Qu4y1Y7t8,https://b23.tv/BV1Qu4y1Y7t8,硬核的半佛仙人,2177449,2567,3516,80805,5688,6765,5389
因为生理羞耻，我被一群小学生嘲笑了….,BV1Qg4y1d72Z,https://b23.tv/BV1Qg4y1d72Z,拉宏桑,3722459,7018,6898,291716,159334,57885,10876
粉墨设计师给我做衣服？！万元明星礼服随便穿,BV1Rw411q77B,https://b23.tv/BV1Rw411q77B,知名相声演员BBBBB大王,1146634,2116,662,66973,4188,4110,775
误入咒术片场无故加班的普通上班族,BV1zu4y1E7oH,https://b23.tv/BV1zu4y1E7oH,哦桑ohsan,1600043,702,918,115416,8338,21025,6856
《崩坏：星穹铁道》托帕&账账角色PV——「专家教学」,BV1kN4y1r7AL,https://b23.tv/BV1kN4y1r7AL,崩坏星穹铁道,3029316,9678,7673,228297,65329,42595,26476
【vlog】骑着小破车去到内蒙古，找回重新开始的勇气,BV19j411e71L,https://b23.tv/BV19j411e71L,小缸,1132922,28437,8518,163131,266009,61408,16692
星闪技术上手体验：万物互联的根基？,BV1ec41197F6,https://b23.tv/BV1ec41197F6,极客湾Geekerwan,1466040,4486,5401,79112,16024,10911,5503
《一种新的聊天方式》,BV1J94y1j7wH,https://b23.tv/BV1J94y1j7wH,不会聊天的小七,3569556,1390,1304,282437,26181,35506,24363
“天下一统”背后隐藏的“惊天动机”！「三国归晋」,BV1nQ4y1H7Eb,https://b23.tv/BV1nQ4y1H7Eb,勇敢De永,2063302,5821,1764,124495,26575,30676,2322
【修一j】成功把蜥蜴标本复活成了冰霜骨龙！,BV1ay4y1w7x1,https://b23.tv/BV1ay4y1w7x1,修一j,1511788,1591,1226,75415,37637,35562,3924
《明日方舟》限定干员「塑心」前瞻PV,BV1We41197Tc,https://b23.tv/BV1We41197Tc,明日方舟,1027208,8454,3920,90910,26127,14874,11134
最震撼的一集！花腔吟唱《斯卡布罗集市》|“他将是我最挚爱之人”『说说Crystal·翻唱』,BV1HM411X7aT,https://b23.tv/BV1HM411X7aT,说说Crystal,983962,702,1948,97094,45880,60038,5676
小时候听不懂…那现在呢？《其实都没有》,BV1YQ4y1H7w7,https://b23.tv/BV1YQ4y1H7w7,咻咻满,1026120,875,1607,49115,29041,14345,2691
前任总裁阴阳怪气！时装评论人实名开怼！祝他成功吧！深度解析「GUCCI 古驰 2024春夏女装秀场」,BV1rw411F7HJ,https://b23.tv/BV1rw411F7HJ,AHALOLO,531156,2350,767,19369,8024,2052,451
我用了太长的时间，终于把宫崎骏和国漫这条最恶毒的谣言辟谣了,BV1KB4y1Z7jm,https://b23.tv/BV1KB4y1Z7jm,哎呀老付,2708883,3538,6657,381335,239466,94823,9321
干！,BV1Kj411e7Ee,https://b23.tv/BV1Kj411e7Ee,小潮院长,9649017,40424,6083,481847,203579,142655,9930
【重返未来1999 | 独立原创动画】万物理论 - 𝐓𝐡𝐞 𝐓𝐡𝐞𝐨𝐫𝐲 𝐎𝐟 𝐄𝐯𝐞𝐫𝐲𝐭𝐡𝐢𝐧𝐠【VIV】,BV1BN411x74s,https://b23.tv/BV1BN411x74s,___viv___,2796110,1800,4879,387871,221245,203663,43268
没流量，没爱情，也能拍好国产剧！,BV1n34y1u7QG,https://b23.tv/BV1n34y1u7QG,三代鹿人,3789659,8778,4763,217171,107827,51365,24194
小米14性能分析：骁龙8Gen3到底有多强？,BV1me411R7Ha,https://b23.tv/BV1me411R7Ha,极客湾Geekerwan,4065669,31263,16352,187596,87446,24983,63302
